dataset_id	age_stratum	endpoint	clinical_role	score_stratum	score_stratum_definition	n	event_n	event_rate	mean_axis_score_z	median_axis_score_z	interpretation
GSE206285	adult	Week 8 mucosal healing	adult direct endpoint	Middle score	within-cohort tertile of standardized barrier-axis score	180	23	0.127778	0.113808	0.108983	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE206285	adult	Week 8 mucosal healing	adult direct endpoint	High score	within-cohort tertile of standardized barrier-axis score	181	16	0.0883978	1.01546	0.95014	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE206285	adult	Week 8 clinical remission	adult direct endpoint	Low score	within-cohort tertile of standardized barrier-axis score	183	30	0.163934	-1.13183	-0.945045	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE206285	adult	Week 8 clinical remission	adult direct endpoint	Middle score	within-cohort tertile of standardized barrier-axis score	183	20	0.10929	0.111478	0.105948	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE206285	adult	Week 8 clinical remission	adult direct endpoint	High score	within-cohort tertile of standardized barrier-axis score	184	13	0.0706522	1.01481	0.954516	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE23597	adult	Week 8 response	adult direct endpoint	Low score	within-cohort tertile of standardized barrier-axis score	15	11	0.733333	-1.04312	-0.798654	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE23597	adult	Week 8 response	adult direct endpoint	Middle score	within-cohort tertile of standardized barrier-axis score	15	11	0.733333	0.0127828	0.055988	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE23597	adult	Week 8 response	adult direct endpoint	High score	within-cohort tertile of standardized barrier-axis score	15	8	0.533333	1.03034	0.801259	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE23597	adult	Week 30 response	adult direct endpoint	Low score	within-cohort tertile of standardized barrier-axis score	15	10	0.666667	-1.04312	-0.798654	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE23597	adult	Week 30 response	adult direct endpoint	Middle score	within-cohort tertile of standardized barrier-axis score	15	7	0.466667	0.0127828	0.055988	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE23597	adult	Week 30 response	adult direct endpoint	High score	within-cohort tertile of standardized barrier-axis score	15	6	0.4	1.03034	0.801259	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE16879	adult_or_mixed	Infliximab response	adult or mixed direct endpoint	Low score	within-cohort tertile of standardized barrier-axis score	20	15	0.75	-1.08277	-1.06456	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE16879	adult_or_mixed	Infliximab response	adult or mixed direct endpoint	Middle score	within-cohort tertile of standardized barrier-axis score	20	11	0.55	-0.131662	-0.139054	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE16879	adult_or_mixed	Infliximab response	adult or mixed direct endpoint	High score	within-cohort tertile of standardized barrier-axis score	21	2	0.0952381	1.1566	1.23593	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE109142	pediatric_or_early_onset	Week 4 remission	pediatric direct remission context	Low score	within-cohort tertile of standardized barrier-axis score	69	43	0.623188	-0.970694	-0.831653	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE109142	pediatric_or_early_onset	Week 4 remission	pediatric direct remission context	Middle score	within-cohort tertile of standardized barrier-axis score	68	32	0.470588	-0.153931	-0.154912	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
GSE109142	pediatric_or_early_onset	Week 4 remission	pediatric direct remission context	High score	within-cohort tertile of standardized barrier-axis score	69	30	0.434783	1.12239	1.07062	For healing, remission, or response endpoints, a higher event rate means a more favorable clinical outcome.
